A_team,B_team,A_score,B_score,A_standings,B_standings,season,target,total_goals,match_id,delta_score,delta_standings
Chievo,Juventus,0,1,5,10,2014/2015,1,1,0,-1,-5
Roma,Fiorentina,2,0,14,7,2014/2015,1,2,1,2,7
AC Milan,Lazio,3,1,3,10,2014/2015,1,4,2,2,-7
Atalanta,Verona,0,0,4,17,2014/2015,1,0,3,0,-13
Cesena,Parma Calcio 1913,1,0,7,13,2014/2015,1,1,4,1,-6
Genoa,Napoli,1,2,9,11,2014/2015,1,3,5,-1,-2
Palermo,Sampdoria,1,1,11,12,2014/2015,1,2,6,0,-1
Sassuolo,Cagliari,1,1,13,10,2014/2015,1,2,7,0,3
Torino,Inter,0,0,14,13,2014/2015,1,0,8,0,1
Udinese,Empoli,2,0,15,14,2014/2015,1,2,9,2,1
Empoli,Roma,0,1,18,2,2014/2015,1,1,10,-1,16
Juventus,Udinese,2,0,5,3,2014/2015,1,2,11,2,2
Cagliari,Atalanta,1,2,8,7,2014/2015,1,3,12,-1,1
Fiorentina,Genoa,0,0,18,16,2014/2015,1,0,13,0,2
Inter,Sassuolo,7,0,8,11,2014/2015,1,7,14,7,-3
Lazio,Cesena,3,0,19,6,2014/2015,1,3,15,3,13
Napoli,Chievo,0,1,7,18,2014/2015,1,1,16,-1,-11
Sampdoria,Torino,2,0,12,13,2014/2015,1,2,17,2,-1
Verona,Palermo,2,1,13,12,2014/2015,1,3,18,1,1
AC Milan,Juventus,0,1,1,2,2014/2015,1,1,19,-1,-1
Cesena,Empoli,2,2,12,20,2014/2015,1,4,20,0,-8
Atalanta,Fiorentina,0,1,6,16,2014/2015,1,1,21,-1,-10
Chievo,Parma Calcio 1913,2,3,11,20,2014/2015,1,5,22,-1,-9
Genoa,Lazio,1,0,16,10,2014/2015,1,1,23,1,6
Palermo,Inter,1,1,17,4,2014/2015,1,2,24,0,13
Roma,Cagliari,2,0,2,17,2014/2015,1,2,25,2,-15
Sassuolo,Sampdoria,0,0,20,5,2014/2015,1,0,26,0,15
Torino,Verona,0,1,18,6,2014/2015,1,1,27,-1,12
Udinese,Napoli,1,0,13,12,2014/2015,1,1,28,1,1
Empoli,AC Milan,2,2,19,4,2014/2015,1,4,29,0,15
Cagliari,Torino,1,2,19,20,2014/2015,1,3,30,-1,-1
Fiorentina,Sassuolo,0,0,10,19,2014/2015,1,0,31,0,-9
Inter,Atalanta,2,0,6,9,2014/2015,1,2,32,2,-3
Juventus,Cesena,3,0,2,11,2014/2015,1,3,33,3,-9
Napoli,Palermo,3,3,15,18,2014/2015,1,6,34,0,-3
Parma Calcio 1913,Roma,1,2,17,2,2014/2015,1,3,35,-1,15
Sampdoria,Chievo,2,1,7,15,2014/2015,1,3,36,1,-8
Verona,Genoa,2,2,6,9,2014/2015,1,4,37,0,-3
Lazio,Udinese,0,1,14,7,2014/2015,1,1,38,-1,7
Atalanta,Juventus,0,3,11,1,2014/2015,1,3,39,-3,10
Roma,Verona,2,0,2,6,2014/2015,1,2,40,2,-4
Cesena,AC Milan,1,1,13,7,2014/2015,1,2,41,0,6
Chievo,Empoli,1,1,16,19,2014/2015,1,2,42,0,-3
Genoa,Sampdoria,0,1,8,5,2014/2015,1,1,43,-1,3
Inter,Cagliari,1,4,5,20,2014/2015,1,5,44,-3,-15
Sassuolo,Napoli,0,1,20,12,2014/2015,1,1,45,-1,8
Torino,Fiorentina,1,1,14,9,2014/2015,1,2,46,0,5
Palermo,Lazio,0,4,17,16,2014/2015,1,4,47,-4,1
Udinese,Parma Calcio 1913,4,2,4,17,2014/2015,1,6,48,2,-13
AC Milan,Chievo,2,0,6,15,2014/2015,1,2,49,2,-9
Verona,Cagliari,1,0,7,14,2014/2015,1,1,50,1,-7
Empoli,Palermo,3,0,17,19,2014/2015,1,3,51,3,-2
Fiorentina,Inter,3,0,11,7,2014/2015,1,3,52,3,4
Juventus,Roma,3,2,1,2,2014/2015,1,5,53,1,-1
Lazio,Sassuolo,3,2,10,20,2014/2015,1,5,54,1,-10
Napoli,Torino,2,1,10,13,2014/2015,1,3,55,1,-3
Parma Calcio 1913,Genoa,1,2,18,12,2014/2015,1,3,56,-1,6
Sampdoria,Atalanta,1,0,5,17,2014/2015,1,1,57,1,-12
Udinese,Cesena,1,1,4,14,2014/2015,1,2,58,0,-10
Roma,Chievo,3,0,2,16,2014/2015,1,3,59,3,-14
Sassuolo,Juventus,1,1,20,1,2014/2015,1,2,60,0,19
Atalanta,Parma Calcio 1913,1,0,16,19,2014/2015,1,1,61,1,-3
Cagliari,Sampdoria,2,2,16,3,2014/2015,1,4,62,0,13
Fiorentina,Lazio,0,2,9,8,2014/2015,1,2,63,-2,1
Inter,Napoli,2,2,10,8,2014/2015,1,4,64,0,2
Palermo,Cesena,2,1,20,14,2014/2015,1,3,65,1,6
Torino,Udinese,1,0,17,4,2014/2015,1,1,66,1,13
Verona,AC Milan,1,3,8,6,2014/2015,1,4,67,-2,2
Genoa,Empoli,1,1,11,14,2014/2015,1,2,68,0,-3
Empoli,Cagliari,0,4,13,17,2014/2015,1,4,69,-4,-4
Parma Calcio 1913,Sassuolo,1,3,20,19,2014/2015,1,4,70,-2,1
Sampdoria,Roma,0,0,3,2,2014/2015,1,0,71,0,1
AC Milan,Fiorentina,1,1,4,10,2014/2015,1,2,72,0,-6
Cesena,Inter,0,1,17,10,2014/2015,1,1,73,-1,7
Chievo,Genoa,1,2,19,11,2014/2015,1,3,74,-1,8
Juventus,Palermo,2,0,1,18,2014/2015,1,2,75,2,-17
Lazio,Torino,2,1,6,13,2014/2015,1,3,76,1,-7
Udinese,Atalanta,2,0,7,15,2014/2015,1,2,77,2,-8
Sassuolo,Empoli,3,1,16,14,2014/2015,1,4,78,2,2
Atalanta,Napoli,1,1,16,7,2014/2015,1,2,79,0,9
Cagliari,AC Milan,1,1,13,6,2014/2015,1,2,80,0,7
Fiorentina,Udinese,3,0,11,5,2014/2015,1,3,81,3,6
Genoa,Juventus,1,0,10,1,2014/2015,1,1,82,1,9
Inter,Sampdoria,1,0,10,4,2014/2015,1,1,83,1,6
Palermo,Chievo,1,0,18,19,2014/2015,1,1,84,1,-1
Roma,Cesena,2,0,2,18,2014/2015,1,2,85,2,-16
Torino,Parma Calcio 1913,1,0,15,20,2014/2015,1,1,86,1,-5
Verona,Lazio,1,1,12,6,2014/2015,1,2,87,0,6
Empoli,Juventus,0,2,17,1,2014/2015,1,2,88,-2,16
Napoli,Roma,2,0,8,2,2014/2015,1,2,89,2,6
Parma Calcio 1913,Inter,2,0,20,8,2014/2015,1,2,90,2,12
AC Milan,Palermo,0,2,5,15,2014/2015,1,2,91,-2,-10
Chievo,Sassuolo,0,0,20,14,2014/2015,1,0,92,0,6
Sampdoria,Fiorentina,3,1,6,10,2014/2015,1,4,93,2,-4
Torino,Atalanta,0,0,13,16,2014/2015,1,0,94,0,-3
Udinese,Genoa,2,4,7,9,2014/2015,1,6,95,-2,-2
Cesena,Verona,1,1,19,12,2014/2015,1,2,96,0,7
Lazio,Cagliari,4,2,6,15,2014/2015,1,6,97,2,-9
Sampdoria,AC Milan,2,2,4,7,2014/2015,1,4,98,0,-3
Sassuolo,Atalanta,0,0,14,16,2014/2015,1,0,99,0,-2
Cagliari,Genoa,1,1,16,6,2014/2015,1,2,100,0,10
Chievo,Cesena,2,1,20,18,2014/2015,1,3,101,1,2
Empoli,Lazio,2,1,18,4,2014/2015,1,3,102,1,14
Fiorentina,Napoli,0,1,10,6,2014/2015,1,1,103,-1,4
Inter,Verona,2,2,9,11,2014/2015,1,4,104,0,-2
Juventus,Parma Calcio 1913,7,0,1,20,2014/2015,1,7,105,7,-19
Palermo,Udinese,1,1,14,9,2014/2015,1,2,106,0,5
Roma,Torino,3,0,2,13,2014/2015,1,3,107,3,-11
Atalanta,Roma,1,2,16,2,2014/2015,1,3,108,-1,14
Lazio,Juventus,0,3,5,1,2014/2015,1,3,109,-3,4
AC Milan,Inter,1,1,7,9,2014/2015,1,2,110,0,-2
Cesena,Sampdoria,1,1,19,4,2014/2015,1,2,111,0,15
Napoli,Cagliari,3,3,3,15,2014/2015,1,6,112,0,-12
Parma Calcio 1913,Empoli,0,2,20,16,2014/2015,1,2,113,-2,4
Torino,Sassuolo,0,1,15,14,2014/2015,1,1,114,-1,1
Udinese,Chievo,1,1,9,18,2014/2015,1,2,115,0,-9
Verona,Fiorentina,1,2,11,12,2014/2015,1,3,116,-1,-1
Genoa,Palermo,1,1,6,14,2014/2015,1,2,117,0,-8
Chievo,Lazio,0,0,18,6,2014/2015,1,0,118,0,12
Sassuolo,Verona,2,1,11,13,2014/2015,1,3,119,1,-2
AC Milan,Udinese,2,0,7,8,2014/2015,1,2,120,2,-1
Cagliari,Fiorentina,0,4,16,11,2014/2015,1,4,121,-4,5
Cesena,Genoa,0,3,19,7,2014/2015,1,3,122,-3,12
Empoli,Atalanta,0,0,14,17,2014/2015,1,0,123,0,-3
Juventus,Torino,2,1,1,15,2014/2015,1,3,124,1,-14
Palermo,Parma Calcio 1913,2,1,13,20,2014/2015,1,3,125,1,-7
Roma,Inter,4,2,2,11,2014/2015,1,6,126,2,-9
Sampdoria,Napoli,1,1,6,4,2014/2015,1,2,127,0,2
Fiorentina,Juventus,0,0,8,1,2014/2015,1,0,128,0,7
Roma,Sassuolo,2,2,2,10,2014/2015,1,4,129,0,-8
Torino,Palermo,2,2,15,12,2014/2015,1,4,130,0,3
Atalanta,Cesena,3,2,17,19,2014/2015,1,5,131,1,-2
Genoa,AC Milan,1,0,4,6,2014/2015,1,1,132,1,-2
Inter,Udinese,1,2,12,10,2014/2015,1,3,133,-1,2
Napoli,Empoli,2,2,4,13,2014/2015,1,4,134,0,-9
Parma Calcio 1913,Lazio,1,2,20,9,2014/2015,1,3,135,-1,11
Cagliari,Chievo,0,2,17,18,2014/2015,1,2,136,-2,-1
Verona,Sampdoria,1,3,15,6,2014/2015,1,4,137,-2,9
Lazio,Atalanta,3,0,6,14,2014/2015,1,3,138,3,-8
Palermo,Sassuolo,2,1,11,10,2014/2015,1,3,139,1,1
AC Milan,Napoli,2,0,7,6,2014/2015,1,2,140,2,1
Cesena,Fiorentina,1,4,19,10,2014/2015,1,5,141,-3,9
Genoa,Roma,0,1,4,2,2014/2015,1,1,142,-1,2
Juventus,Sampdoria,1,1,1,5,2014/2015,1,2,143,0,-4
Parma Calcio 1913,Cagliari,0,0,20,18,2014/2015,1,0,144,0,2
Udinese,Verona,1,2,9,14,2014/2015,1,3,145,-1,-5
Chievo,Inter,0,2,16,12,2014/2015,1,2,146,-2,4
Empoli,Torino,0,0,14,16,2014/2015,1,0,147,0,-2
Cagliari,Juventus,1,3,18,1,2014/2015,1,4,148,-2,17
Napoli,Parma Calcio 1913,2,0,7,20,2014/2015,1,2,149,2,-13
Roma,AC Milan,0,0,2,7,2014/2015,1,0,150,0,-5
Sassuolo,Cesena,1,1,12,19,2014/2015,1,2,151,0,-7
Atalanta,Palermo,3,3,16,10,2014/2015,1,6,152,0,6
Fiorentina,Empoli,1,1,8,14,2014/2015,1,2,153,0,-6
Inter,Lazio,2,2,11,4,2014/2015,1,4,154,0,7
Sampdoria,Udinese,2,2,5,11,2014/2015,1,4,155,0,-6
Torino,Genoa,2,1,16,6,2014/2015,1,3,156,1,10
Verona,Chievo,0,1,15,17,2014/2015,1,1,157,-1,-2
Lazio,Sampdoria,3,0,3,5,2014/2015,1,3,158,3,-2
AC Milan,Sassuolo,1,2,7,12,2014/2015,1,3,159,-1,-5
Cesena,Napoli,1,4,19,4,2014/2015,1,5,160,-3,15
Chievo,Torino,0,0,16,14,2014/2015,1,0,161,0,2
Empoli,Verona,0,0,14,16,2014/2015,1,0,162,0,-2
Genoa,Atalanta,2,2,6,17,2014/2015,1,4,163,0,-11
Juventus,Inter,1,1,1,12,2014/2015,1,2,164,0,-11
Palermo,Cagliari,5,0,12,18,2014/2015,1,5,165,5,-6
Parma Calcio 1913,Fiorentina,1,0,20,9,2014/2015,1,1,166,1,11
Udinese,Roma,0,1,12,2,2014/2015,1,1,167,-1,10
Sassuolo,Udinese,1,1,10,12,2014/2015,1,2,168,0,-2
Torino,AC Milan,1,1,14,7,2014/2015,1,2,169,0,7
Atalanta,Chievo,1,1,17,16,2014/2015,1,2,170,0,1
Cagliari,Cesena,2,1,18,20,2014/2015,1,3,171,1,-2
Fiorentina,Palermo,4,3,9,8,2014/2015,1,7,172,1,1
Inter,Genoa,3,1,12,6,2014/2015,1,4,173,2,6
Napoli,Juventus,1,3,4,1,2014/2015,1,4,174,-2,3
Roma,Lazio,2,2,2,3,2014/2015,1,4,175,0,-1
Sampdoria,Empoli,1,0,6,14,2014/2015,1,1,176,1,-8
Verona,Parma Calcio 1913,3,1,16,19,2014/2015,1,4,177,2,-3
Empoli,Inter,0,0,15,9,2014/2015,1,0,178,0,6
Palermo,Roma,1,1,10,2,2014/2015,1,2,179,0,8
AC Milan,Atalanta,0,1,8,17,2014/2015,1,1,180,-1,-9
Cesena,Torino,2,3,20,16,2014/2015,1,5,181,-1,4
Chievo,Fiorentina,1,2,17,6,2014/2015,1,3,182,-1,11
Genoa,Sassuolo,3,3,7,11,2014/2015,1,6,183,0,-4
Juventus,Verona,4,0,1,14,2014/2015,1,4,184,4,-13
Lazio,Napoli,0,1,3,5,2014/2015,1,1,185,-1,-2
Parma Calcio 1913,Sampdoria,0,2,19,6,2014/2015,1,2,186,-2,13
Udinese,Cagliari,2,2,12,18,2014/2015,1,4,187,0,-6
Cagliari,Sassuolo,2,1,18,11,2014/2015,1,3,188,1,7
Lazio,AC Milan,3,1,5,8,2014/2015,1,4,189,2,-3
Fiorentina,Roma,1,1,6,2,2014/2015,1,2,190,0,4
Inter,Torino,0,1,8,13,2014/2015,1,1,191,-1,-5
Juventus,Chievo,2,0,1,18,2014/2015,1,2,192,2,-17
Parma Calcio 1913,Cesena,1,2,19,20,2014/2015,1,3,193,-1,-1
Sampdoria,Palermo,1,1,5,10,2014/2015,1,2,194,0,-5
Verona,Atalanta,1,0,14,15,2014/2015,1,1,195,1,-1
Empoli,Udinese,1,2,16,13,2014/2015,1,3,196,-1,3
Napoli,Genoa,2,1,5,7,2014/2015,1,3,197,1,-2
Genoa,Fiorentina,1,1,7,6,2014/2015,1,2,198,0,1
Roma,Empoli,1,1,2,16,2014/2015,1,2,199,0,-14
