A_team,B_team,A_score,B_score,A_xg,B_xg,A_standings,B_standings,season,target
Atalanta,Inter,0,1,0.38,1.04,7,10,2015/2016,0
Sassuolo,Chievo,1,1,0.82,0.6,4,5,2015/2016,1
Parma Calcio 1913,Cagliari,0,4,0.99,2.09,20,18,2014/2015,0
Roma,Sassuolo,2,2,1.55,3.38,7,8,2020/2021,0
Empoli,Cesena,2,2,2.58,2.04,20,12,2014/2015,0
Fiorentina,Juventus,0,2,0.85,0.51,11,2,2017/2018,1
Juventus,Empoli,1,0,2.19,0.63,1,11,2015/2016,1
Brescia,Napoli,1,2,1.15,2.5,11,7,2019/2020,0
Crotone,Sampdoria,0,5,0.59,2.29,15,6,2017/2018,0
Empoli,Genoa,1,2,1.26,0.95,6,14,2018/2019,0
Sampdoria,Bologna,1,2,1.01,2.33,16,11,2019/2020,1
Cagliari,Atalanta,2,1,0.89,2.0,16,7,2017/2018,0
Inter,Fiorentina,2,1,1.86,1.79,9,3,2018/2019,1
SPAL 2013,Atalanta,2,0,1.79,0.79,6,13,2018/2019,1
Udinese,Atalanta,1,1,0.42,1.28,15,6,2020/2021,1
Lazio,AC Milan,2,3,1.46,1.88,8,1,2020/2021,0
Inter,Lazio,0,0,0.75,1.1,3,5,2017/2018,1
Parma Calcio 1913,Juventus,1,2,0.21,1.35,7,1,2019/2020,0
Inter,Napoli,1,0,1.32,3.26,3,2,2020/2021,1
Atalanta,Genoa,2,1,1.53,1.73,4,16,2018/2019,1
Napoli,Cagliari,0,1,1.89,0.53,3,9,2019/2020,1
Lazio,Bologna,2,1,2.74,0.89,4,9,2017/2018,0
AC Milan,Fiorentina,1,0,0.98,0.83,5,12,2018/2019,0
SPAL 2013,Cagliari,0,1,1.1,1.54,19,11,2019/2020,1
Lazio,Inter,0,3,1.24,1.62,4,3,2018/2019,1
Roma,Udinese,1,0,2.39,1.25,3,11,2016/2017,0
Verona,Genoa,2,1,2.46,0.77,13,18,2019/2020,1
Sassuolo,Frosinone,1,0,1.33,1.1,7,19,2015/2016,0
AC Milan,Carpi,0,0,0.86,0.41,8,19,2015/2016,0
Atalanta,Juventus,1,3,2.79,1.21,5,1,2019/2020,1
Genoa,AC Milan,1,2,0.38,1.54,11,7,2018/2019,0
Chievo,Sassuolo,0,1,0.64,1.47,14,15,2014/2015,0
Roma,Sampdoria,2,3,1.32,1.8,2,16,2016/2017,0
Atalanta,Lazio,3,4,1.55,1.81,4,12,2016/2017,1
Benevento,Genoa,0,1,0.86,3.28,20,17,2017/2018,0
Sampdoria,Sassuolo,1,1,1.2,1.77,6,12,2014/2015,1
Cagliari,Genoa,0,1,1.27,2.49,18,16,2020/2021,0
Fiorentina,Lazio,2,0,1.43,0.98,14,6,2020/2021,1
Verona,Genoa,0,1,0.67,1.07,19,17,2017/2018,1
Lazio,Verona,5,2,4.18,0.36,9,20,2015/2016,1
Inter,Juventus,2,3,0.63,1.36,5,1,2017/2018,1
Cagliari,Benevento,1,2,1.17,1.23,15,10,2020/2021,1
Sassuolo,Atalanta,0,0,0.63,0.39,14,16,2014/2015,1
Udinese,Roma,0,1,0.86,0.9,12,2,2014/2015,1
Bologna,Torino,2,0,1.14,0.6,16,9,2016/2017,1
Sampdoria,Cagliari,0,2,0.13,1.9,7,13,2020/2021,0
Bologna,Sampdoria,3,0,1.0,0.64,17,9,2018/2019,1
Napoli,Lazio,1,0,0.99,1.03,5,3,2014/2015,0
Lazio,Frosinone,1,0,2.85,0.49,20,17,2018/2019,1
Torino,Palermo,2,2,1.0,0.27,15,12,2014/2015,1
Verona,Udinese,2,1,0.83,0.81,14,9,2014/2015,0
Bologna,Lecce,3,2,2.69,2.25,12,18,2019/2020,1
Sassuolo,Empoli,3,1,2.1,1.04,6,16,2018/2019,1
Crotone,AC Milan,0,4,0.48,3.27,20,2,2020/2021,0
Udinese,SPAL 2013,1,1,0.39,1.11,11,17,2017/2018,1
Lazio,Parma Calcio 1913,1,0,1.67,0.71,3,9,2019/2020,0
SPAL 2013,Genoa,0,2,0.04,2.81,20,18,2019/2020,0
Fiorentina,Sampdoria,1,3,1.45,1.87,10,6,2014/2015,0
Empoli,Carpi,0,1,0.7,1.7,12,17,2015/2016,0
Sassuolo,Napoli,2,2,1.0,2.69,12,3,2016/2017,1
Napoli,Sampdoria,2,0,1.73,1.7,13,20,2019/2020,1
Genoa,Inter,0,4,0.29,2.34,19,2,2019/2020,0
Sassuolo,Crotone,1,4,1.32,2.39,13,17,2017/2018,0
Torino,Chievo,0,1,0.15,0.43,2,7,2015/2016,0
Torino,Roma,0,3,0.5,0.87,13,2,2014/2015,0
Chievo,AC Milan,0,0,0.51,0.96,16,9,2014/2015,1
Palermo,Fiorentina,1,2,0.4,1.9,19,9,2016/2017,0
Udinese,Verona,4,0,3.53,0.14,12,19,2017/2018,1
Empoli,Frosinone,2,1,2.34,1.33,18,19,2018/2019,1
Sampdoria,Cagliari,3,4,1.33,0.69,17,6,2019/2020,0
Palermo,Torino,1,4,0.87,1.21,17,10,2016/2017,1
Genoa,Udinese,2,2,1.22,0.85,17,15,2019/2020,0
Juventus,Atalanta,2,1,2.44,0.86,1,17,2014/2015,1
Udinese,Frosinone,1,0,2.1,0.43,16,17,2015/2016,1
AC Milan,Torino,1,1,0.79,0.34,11,5,2015/2016,0
Cagliari,Napoli,0,1,0.66,0.98,13,2,2018/2019,1
Sampdoria,Juventus,0,3,0.61,2.14,15,11,2020/2021,0
Udinese,Juventus,2,1,1.26,0.65,16,1,2019/2020,1
Roma,Lazio,2,0,1.0,0.58,3,4,2016/2017,0
Parma Calcio 1913,AC Milan,1,3,1.38,2.05,20,10,2014/2015,0
Crotone,Empoli,4,1,2.48,0.21,18,17,2016/2017,1
Roma,Fiorentina,1,1,1.98,1.23,8,6,2018/2019,0
Chievo,Genoa,0,1,0.28,0.58,15,13,2017/2018,1
Atalanta,Udinese,2,0,2.01,0.12,5,17,2018/2019,1
Palermo,AC Milan,0,4,0.21,3.22,19,7,2016/2017,0
Inter,Benevento,2,1,1.96,1.29,3,20,2017/2018,0
Verona,Lazio,1,2,1.08,2.28,17,10,2015/2016,1
Inter,Lazio,3,2,2.13,1.47,5,4,2017/2018,0
Inter,Napoli,0,1,0.38,1.59,7,3,2016/2017,1
Fiorentina,Sampdoria,5,1,3.04,2.03,14,17,2019/2020,0
Sampdoria,Chievo,0,1,1.18,2.61,15,11,2015/2016,1
AC Milan,Chievo,2,0,1.6,0.55,6,15,2014/2015,1
Genoa,Palermo,4,0,2.94,0.41,17,16,2015/2016,1
Roma,Parma Calcio 1913,0,2,0.97,1.3,5,10,2019/2020,0
Sampdoria,Genoa,1,1,0.86,1.18,7,17,2020/2021,1
Cagliari,Roma,2,3,1.2,3.36,14,4,2020/2021,0
Sassuolo,Frosinone,2,0,1.18,0.42,10,19,2018/2019,0
Roma,Chievo,0,0,0.72,0.7,2,16,2014/2015,0
Verona,Sampdoria,0,0,0.99,1.58,19,9,2017/2018,1
Napoli,AC Milan,0,0,0.7,1.25,2,4,2018/2019,0
Udinese,Bologna,1,1,0.75,1.17,15,10,2019/2020,0
Carpi,Genoa,2,1,2.06,0.67,20,15,2015/2016,0
Empoli,Torino,1,1,1.95,1.93,17,9,2016/2017,1
Brescia,Lazio,1,2,0.31,1.75,18,3,2019/2020,1
Chievo,Sampdoria,2,1,0.28,2.08,16,8,2017/2018,1
Sampdoria,Empoli,1,2,1.88,2.21,9,18,2018/2019,1
Cagliari,Chievo,0,2,1.02,1.42,11,13,2017/2018,1
Atalanta,Inter,1,1,0.96,0.82,5,6,2020/2021,1
Fiorentina,Napoli,1,4,0.64,4.34,7,3,2016/2017,0
Fiorentina,Sampdoria,1,3,1.91,2.22,9,7,2017/2018,0
Roma,Napoli,3,1,1.82,1.66,3,2,2016/2017,0
