A_team,B_team,A_score,B_score,A_standings,B_standings,season,target,total_goals
Chievo,Juventus,0,1,5,10,2014/2015,1,1
Roma,Fiorentina,2,0,14,7,2014/2015,1,2
AC Milan,Lazio,3,1,3,10,2014/2015,1,4
Atalanta,Verona,0,0,4,17,2014/2015,1,0
Cesena,Parma Calcio 1913,1,0,7,13,2014/2015,1,1
Genoa,Napoli,1,2,9,11,2014/2015,1,3
Palermo,Sampdoria,1,1,11,12,2014/2015,1,2
Sassuolo,Cagliari,1,1,13,10,2014/2015,1,2
Torino,Inter,0,0,14,13,2014/2015,1,0
Udinese,Empoli,2,0,15,14,2014/2015,1,2
Empoli,Roma,0,1,18,2,2014/2015,1,1
Juventus,Udinese,2,0,5,3,2014/2015,1,2
Cagliari,Atalanta,1,2,8,7,2014/2015,1,3
Fiorentina,Genoa,0,0,18,16,2014/2015,1,0
Inter,Sassuolo,7,0,8,11,2014/2015,1,7
Lazio,Cesena,3,0,19,6,2014/2015,1,3
Napoli,Chievo,0,1,7,18,2014/2015,1,1
Sampdoria,Torino,2,0,12,13,2014/2015,1,2
Verona,Palermo,2,1,13,12,2014/2015,1,3
AC Milan,Juventus,0,1,1,2,2014/2015,1,1
Cesena,Empoli,2,2,12,20,2014/2015,1,4
Atalanta,Fiorentina,0,1,6,16,2014/2015,1,1
Chievo,Parma Calcio 1913,2,3,11,20,2014/2015,1,5
Genoa,Lazio,1,0,16,10,2014/2015,1,1
Palermo,Inter,1,1,17,4,2014/2015,1,2
Roma,Cagliari,2,0,2,17,2014/2015,1,2
Sassuolo,Sampdoria,0,0,20,5,2014/2015,1,0
Torino,Verona,0,1,18,6,2014/2015,1,1
Udinese,Napoli,1,0,13,12,2014/2015,1,1
Empoli,AC Milan,2,2,19,4,2014/2015,1,4
Cagliari,Torino,1,2,19,20,2014/2015,1,3
Fiorentina,Sassuolo,0,0,10,19,2014/2015,1,0
Inter,Atalanta,2,0,6,9,2014/2015,1,2
Juventus,Cesena,3,0,2,11,2014/2015,1,3
Napoli,Palermo,3,3,15,18,2014/2015,1,6
Parma Calcio 1913,Roma,1,2,17,2,2014/2015,1,3
Sampdoria,Chievo,2,1,7,15,2014/2015,1,3
Verona,Genoa,2,2,6,9,2014/2015,1,4
Lazio,Udinese,0,1,14,7,2014/2015,1,1
Atalanta,Juventus,0,3,11,1,2014/2015,1,3
Roma,Verona,2,0,2,6,2014/2015,1,2
Cesena,AC Milan,1,1,13,7,2014/2015,1,2
Chievo,Empoli,1,1,16,19,2014/2015,1,2
Genoa,Sampdoria,0,1,8,5,2014/2015,1,1
Inter,Cagliari,1,4,5,20,2014/2015,1,5
Sassuolo,Napoli,0,1,20,12,2014/2015,1,1
Torino,Fiorentina,1,1,14,9,2014/2015,1,2
Palermo,Lazio,0,4,17,16,2014/2015,1,4
Udinese,Parma Calcio 1913,4,2,4,17,2014/2015,1,6
AC Milan,Chievo,2,0,6,15,2014/2015,1,2
Verona,Cagliari,1,0,7,14,2014/2015,1,1
Empoli,Palermo,3,0,17,19,2014/2015,1,3
Fiorentina,Inter,3,0,11,7,2014/2015,1,3
Juventus,Roma,3,2,1,2,2014/2015,1,5
Lazio,Sassuolo,3,2,10,20,2014/2015,1,5
Napoli,Torino,2,1,10,13,2014/2015,1,3
Parma Calcio 1913,Genoa,1,2,18,12,2014/2015,1,3
Sampdoria,Atalanta,1,0,5,17,2014/2015,1,1
Udinese,Cesena,1,1,4,14,2014/2015,1,2
Roma,Chievo,3,0,2,16,2014/2015,1,3
Sassuolo,Juventus,1,1,20,1,2014/2015,1,2
Atalanta,Parma Calcio 1913,1,0,16,19,2014/2015,1,1
Cagliari,Sampdoria,2,2,16,3,2014/2015,1,4
Fiorentina,Lazio,0,2,9,8,2014/2015,1,2
Inter,Napoli,2,2,10,8,2014/2015,1,4
Palermo,Cesena,2,1,20,14,2014/2015,1,3
Torino,Udinese,1,0,17,4,2014/2015,1,1
Verona,AC Milan,1,3,8,6,2014/2015,1,4
Genoa,Empoli,1,1,11,14,2014/2015,1,2
Empoli,Cagliari,0,4,13,17,2014/2015,1,4
Parma Calcio 1913,Sassuolo,1,3,20,19,2014/2015,1,4
Sampdoria,Roma,0,0,3,2,2014/2015,1,0
AC Milan,Fiorentina,1,1,4,10,2014/2015,1,2
Cesena,Inter,0,1,17,10,2014/2015,1,1
Chievo,Genoa,1,2,19,11,2014/2015,1,3
Juventus,Palermo,2,0,1,18,2014/2015,1,2
Lazio,Torino,2,1,6,13,2014/2015,1,3
Udinese,Atalanta,2,0,7,15,2014/2015,1,2
Sassuolo,Empoli,3,1,16,14,2014/2015,1,4
Atalanta,Napoli,1,1,16,7,2014/2015,1,2
Cagliari,AC Milan,1,1,13,6,2014/2015,1,2
Fiorentina,Udinese,3,0,11,5,2014/2015,1,3
Genoa,Juventus,1,0,10,1,2014/2015,1,1
Inter,Sampdoria,1,0,10,4,2014/2015,1,1
Palermo,Chievo,1,0,18,19,2014/2015,1,1
Roma,Cesena,2,0,2,18,2014/2015,1,2
Torino,Parma Calcio 1913,1,0,15,20,2014/2015,1,1
Verona,Lazio,1,1,12,6,2014/2015,1,2
Empoli,Juventus,0,2,17,1,2014/2015,1,2
Napoli,Roma,2,0,8,2,2014/2015,1,2
Parma Calcio 1913,Inter,2,0,20,8,2014/2015,1,2
AC Milan,Palermo,0,2,5,15,2014/2015,1,2
Chievo,Sassuolo,0,0,20,14,2014/2015,1,0
Sampdoria,Fiorentina,3,1,6,10,2014/2015,1,4
Torino,Atalanta,0,0,13,16,2014/2015,1,0
Udinese,Genoa,2,4,7,9,2014/2015,1,6
Cesena,Verona,1,1,19,12,2014/2015,1,2
Lazio,Cagliari,4,2,6,15,2014/2015,1,6
Sampdoria,AC Milan,2,2,4,7,2014/2015,1,4
Sassuolo,Atalanta,0,0,14,16,2014/2015,1,0
Cagliari,Genoa,1,1,16,6,2014/2015,1,2
Chievo,Cesena,2,1,20,18,2014/2015,1,3
Empoli,Lazio,2,1,18,4,2014/2015,1,3
