Unnamed: 0,home_team,away_team,date,league,season,home_score,away_score,home_xg,away_xg,datetime,home_standings,away_standings,home_points,away_points,home_points_last_4_matches,away_points_last_4_matches,home_points_last_2_home_matches,away_points_last_2_away_matches,home_goals_last_4_matches,away_goals_last_4_matches,home_goals_last_2_home_matches,away_goals_last_2_away_matches,home_goals_against_last_4_matches,away_goals_against_last_4_matches,home_goals_against_last_2_home_matches,away_goals_against_last_2_away_matches,home_mean_xg_last_4_matches,away_mean_xg_last_4_matches,home_mean_xg_last_2_home_matches,away_mean_xg_last_2_away_matches,home_mean_xg_against_last_4_matches,away_mean_xg_against_last_4_matches,home_mean_xg_against_last_2_home_matches,away_mean_xg_against_last_2_away_matches,home_formation,away_formation,home_defense_rating,away_defense_rating,home_midfield_rating,away_midfield_rating,home_attack_rating,away_attack_rating,home_defense_rating_last_4_matches,away_defense_rating_last_4_matches,home_defense_rating_last_2_home_matches,away_defense_rating_last_2_away_matches,home_midfield_rating_last_4_matches,away_midfield_rating_last_4_matches,home_midfield_rating_last_2_home_matches,away_midfield_rating_last_2_away_matches,home_attack_rating_last_4_matches,away_attack_rating_last_4_matches,home_attack_rating_last_2_home_matches,away_attack_rating_last_2_away_matches
78,Chievo,Juventus,August 30 2014,Serie A,2014/2015,0,1,0.5,2.37,2014-08-30,5,10,0,0,,,,,,,,,,,,,,,,,,,,,0,1,6.903999999999999,7.441666666666666,6.65,7.56,5.87,6.84,,,,,,,,,,,,
90,Roma,Fiorentina,August 30 2014,Serie A,2014/2015,2,0,2.24,0.38,2014-08-30,14,7,0,0,,,,,,,,,,,,,,,,,,,,,0,2,7.13,6.660000000000001,8.583333333333334,6.17,7.353333333333333,6.23,,,,,,,,,,,,
98,AC Milan,Lazio,August 31 2014,Serie A,2014/2015,3,1,2.01,2.04,2014-08-31,3,10,0,0,,,,,,,,,,,,,,,,,,,,,0,0,7.144,6.2780000000000005,7.140000000000001,6.47,7.916666666666668,6.266666666666666,,,,,,,,,,,,
100,Atalanta,Verona,August 31 2014,Serie A,2014/2015,0,0,0.88,0.73,2014-08-31,4,17,0,0,,,,,,,,,,,,,,,,,,,,,0,0,7.212000000000001,7.05,7.112,6.72,6.25,6.533333333333334,,,,,,,,,,,,
102,Cesena,Parma Calcio 1913,August 31 2014,Serie A,2014/2015,1,0,1.09,0.44,2014-08-31,7,13,0,0,,,,,,,,,,,,,,,,,,,,,2,0,7.126,6.57,7.4875,6.706666666666666,7.2,5.926666666666667,,,,,,,,,,,,
106,Genoa,Napoli,August 31 2014,Serie A,2014/2015,1,2,0.52,1.79,2014-08-31,9,11,0,0,,,,,,,,,,,,,,,,,,,,,1,0,6.405,7.192,6.76,6.843333333333334,7.626666666666668,6.863333333333333,,,,,,,,,,,,
110,Palermo,Sampdoria,August 31 2014,Serie A,2014/2015,1,1,0.92,0.8,2014-08-31,11,12,0,0,,,,,,,,,,,,,,,,,,,,,3,0,6.765,6.853999999999999,6.733333333333333,6.62,7.245,6.576666666666667,,,,,,,,,,,,
113,Sassuolo,Cagliari,August 31 2014,Serie A,2014/2015,1,1,1.08,0.85,2014-08-31,13,10,0,0,,,,,,,,,,,,,,,,,,,,,0,0,7.154000000000001,6.806,6.693333333333334,7.036666666666666,7.416666666666667,6.8933333333333335,,,,,,,,,,,,
114,Torino,Inter,August 31 2014,Serie A,2014/2015,0,0,1.1,1.31,2014-08-31,14,13,0,0,,,,,,,,,,,,,,,,,,,,,3,1,7.185,7.2225,6.833333333333333,7.031666666666666,5.98,5.91,,,,,,,,,,,,
116,Udinese,Empoli,August 31 2014,Serie A,2014/2015,2,0,1.69,0.69,2014-08-31,15,14,0,0,,,,,,,,,,,,,,,,,,,,,3,2,7.32,6.4,7.493333333333332,6.61,8.075,6.495,,,,,,,,,,,,
129,Empoli,Roma,September 13 2014,Serie A,2014/2015,0,1,0.59,1.37,2014-09-13,18,2,0,3,,,,,,,,,,,,,,,,,,,,,2,0,6.928,7.266,6.555,7.406666666666666,6.62,6.766666666666667,,,,,,,,,,,,
132,Juventus,Udinese,September 13 2014,Serie A,2014/2015,2,0,1.11,0.2,2014-09-13,5,3,3,3,,,,,,,,,,,,,,,,,,,,,3,3,7.181666666666668,6.353333333333334,7.623333333333332,6.739999999999999,7.720000000000001,6.16,,,,,,,,,,,,
147,Cagliari,Atalanta,September 14 2014,Serie A,2014/2015,1,2,3.01,0.62,2014-09-14,8,7,1,1,,,,,,,,,,,,,,,,,,,,,0,2,6.636,7.340000000000001,6.32,7.0175,6.626666666666668,7.255000000000001,,,,,,,,,,,,
150,Fiorentina,Genoa,September 14 2014,Serie A,2014/2015,0,0,2.1,0.23,2014-09-14,18,16,0,0,,,,,,,,,,,,,,,,,,,,,0,1,7.056,7.515000000000001,7.050000000000001,7.057499999999999,6.666666666666667,6.703333333333333,,,,,,,,,,,,
154,Inter,Sassuolo,September 14 2014,Serie A,2014/2015,7,0,3.97,0.48,2014-09-14,8,11,1,1,,,,,,,,,,,,,,,,,,,,,3,0,7.881666666666668,5.838,8.43,5.723333333333334,10.0,5.626666666666666,,,,,,,,,,,,
155,Lazio,Cesena,September 14 2014,Serie A,2014/2015,3,0,1.55,0.15,2014-09-14,19,6,0,3,,,,,,,,,,,,,,,,,,,,,0,2,7.686,6.3260000000000005,7.263333333333333,6.565,7.423333333333335,6.185,,,,,,,,,,,,
158,Napoli,Chievo,September 14 2014,Serie A,2014/2015,0,1,2.21,0.67,2014-09-14,7,18,3,0,,,,,,,,,,,,,,,,,,,,,0,0,6.775999999999999,7.958,6.816666666666667,6.892,6.413333333333333,7.63,,,,,,,,,,,,
159,Parma Calcio 1913,AC Milan,September 14 2014,Serie A,2014/2015,4,5,1.43,3.78,2014-09-14,19,5,0,3,,,,,,,,,,,,,,,,,,,,,0,0,5.802,5.953999999999999,6.566666666666667,7.039999999999999,6.41,8.813333333333334,,,,,,,,,,,,
161,Sampdoria,Torino,September 14 2014,Serie A,2014/2015,2,0,0.42,0.39,2014-09-14,12,13,1,1,,,,,,,,,,,,,,,,,,,,,0,3,6.980000000000001,6.386666666666667,7.293333333333333,6.449999999999999,7.513333333333333,6.115,,,,,,,,,,,,
166,Verona,Palermo,September 15 2014,Serie A,2014/2015,2,1,2.1,1.39,2014-09-15,13,12,1,1,,,,,,,,,,,,,,,,,,,,,0,1,6.786,6.396666666666667,7.330000000000001,7.4675,6.673333333333333,6.68,,,,,,,,,,,,
170,AC Milan,Juventus,September 20 2014,Serie A,2014/2015,0,1,0.28,1.44,2014-09-20,1,2,6,6,,,,,,,,,,,,,,,,,,,,,0,3,7.056,7.0183333333333335,6.8500000000000005,7.646666666666667,6.48,7.285,,,,,,,,,,,,
